horse_id,地区目录,当前显示名,中文名,英文名,原名,基础能力,巅峰能力,入库比赛数,来源文件,中文来源,英文来源,核对备注
essential-quality,America,Ambitious Dragon,雄心威龙,Ambitious Dragon,Ambitious Dragon,82,84,5,js/data/historical-horses/Others/ambitious-dragon.js,自译待核对,现有英文显示名,
flightline,America,American Pharoah,美国法老,American Pharoah,American Pharoah,91,92,5,js/data/historical-horses/America/american-pharoah.js,自译待核对,现有英文显示名,
forego,America,Apapane,夏威夷鸟,Apapane,アパパネ,79,81,5,js/data/historical-horses/Japan/apapane.js,自译待核对,现有英文显示名,
golden-pal,America,霸道驹,霸道驹,Arrogate,Arrogate,91,93,4,js/data/historical-horses/America/arrogate.js,现有中文,原名英文,
gun-runner,America,Art Power,艺术力量,Art Power,Art Power,81,83,1,js/data/historical-horses/Europe/art-power.js,自译待核对,现有英文显示名,
high-chaparral,America,Auguste Rodin,奥古斯特罗丹,Auguste Rodin,Auguste Rodin,86,88,6,js/data/historical-horses/Europe/auguste-rodin.js,自译待核对,现有英文显示名,
justify,America,阿塞拜疆,阿塞拜疆,Azeri,Azeri,82,84,4,js/data/historical-horses/America/azeri.js,现有中文,原名英文,
kelso,America,Baaeed,胜千里,Baaeed,Baaeed,92,94,6,js/data/historical-horses/Europe/baaeed.js,自译待核对,现有英文显示名,
knicks-go,America,Battaash,巴塔什,Battaash,Battaash,88,90,4,js/data/historical-horses/Europe/battaash.js,自译待核对,现有英文显示名,
lady-eli,America,Beauty Generation,美丽传承,Beauty Generation,Beauty Generation,85,87,8,js/data/historical-horses/Others/beauty-generation.js,自译待核对,现有英文显示名,
man-o-war,America,旁观者,旁观者,Beholder,Beholder,83,85,3,js/data/historical-horses/America/beholder.js,现有中文,原名英文,
monomoy-girl,America,Biwa Hayahide,琵琶晨光,Biwa Hayahide,??????,79,81,7,js/data/historical-horses/Japan/biwa-hayahide.js,自译待核对,现有英文显示名,
native-dancer,America,Black Caviar,鱼子精华,Black Caviar,Black Caviar,93,95,9,js/data/historical-horses/Europe/black-caviar.js,自译待核对,现有英文显示名,
rachel-alexandra,America,Blue Point,蔚蓝海角,Blue Point,Blue Point,86,88,4,js/data/historical-horses/Europe/blue-point.js,自译待核对,现有英文显示名,
rags-to-riches,America,Blue Rose Cen,蓝玫瑰仙,Blue Rose Cen,Blue Rose Cen,82,84,2,js/data/historical-horses/Europe/blue-rose-cen.js,自译待核对,现有英文显示名,
rebels-romance,America,Bluestocking,蓝袜,Bluestocking,Bluestocking,83,85,3,js/data/historical-horses/Europe/bluestocking.js,自译待核对,现有英文显示名,
round-table,America,Bosra Sham,博斯拉沙姆,Bosra Sham,Bosra Sham,83,85,1,js/data/historical-horses/Europe/bosra-sham.js,自译待核对,现有英文显示名,
royal-delta,America,坚如磐石,一砖一瓦,Bricks and Mortar,Bricks and Mortar,83,85,5,js/data/historical-horses/America/bricks-and-mortar.js,现有中文,原名英文,
ruffian,America,Brigadier Gerard,杰拉德准将,Brigadier Gerard,Brigadier Gerard,98,100,12,js/data/historical-horses/Europe/brigadier-gerard.js,自译待核对,现有英文显示名,
seabiscuit,America,斜肩者,卸肩者,Buckpasser,Buckpasser,91,93,2,js/data/historical-horses/America/buckpasser.js,现有中文,原名英文,
seattle-slew,America,Buena Vista,迷人景致,Buena Vista,ブエナビスタ,81,83,8,js/data/historical-horses/Japan/buena-vista.js,自译待核对,现有英文显示名,
secretariat,America,Camelot,卡美洛,Camelot,Camelot,84,86,4,js/data/historical-horses/Europe/camelot.js,自译待核对,现有英文显示名,
sistercharlie,America,Campanelle,坎帕内尔,Campanelle,Campanelle,81,83,2,js/data/historical-horses/Europe/campanelle.js,自译待核对,现有英文显示名,
spectacular-bid,America,Canford Cliffs,坎福德悬崖,Canford Cliffs,Canford Cliffs,85,87,4,js/data/historical-horses/Europe/canford-cliffs.js,自译待核对,现有英文显示名,
tepin,America,Capri,卡普里,Capri,Capri,82,84,2,js/data/historical-horses/Europe/capri.js,自译待核对,现有英文显示名,
tiznow,America,Caravaggio,卡拉瓦乔,Caravaggio,Caravaggio,82,84,3,js/data/historical-horses/Europe/caravaggio.js,自译待核对,现有英文显示名,
war-admiral,America,Cesario,西沙里奥,Cesario,シーザリオ,80,82,2,js/data/historical-horses/Japan/cesario.js,自译待核对,现有英文显示名,
winning-colors,America,Chrono Genesis,创世驹,Chrono Genesis,クロノジェネシス,83,85,5,js/data/historical-horses/Japan/chrono-genesis.js,自译待核对,现有英文显示名,
wise-dan,America,Churchill,丘吉尔,Churchill,Churchill,87,89,3,js/data/historical-horses/Europe/churchill.js,自译待核对,现有英文显示名,
zenyatta,America,Cigar,雪茄,Cigar,Cigar,90,92,2,js/data/historical-horses/America/cigar.js,自译待核对,现有英文显示名,
ace-impact,Europe,Cirrus des Aigles,天鹰翱翔,Cirrus des Aigles,Cirrus des Aigles,92,94,7,js/data/historical-horses/Europe/cirrus-des-aigles.js,自译待核对,现有英文显示名,
advertise,Europe,Citation,例证,Citation,Citation,95,97,3,js/data/historical-horses/America/citation.js,自译待核对,现有英文显示名,
alpha-centauri,Europe,科迪之愿,科迪之愿,Cody's Wish,Cody's Wish,80,82,4,js/data/historical-horses/America/codys-wish.js,现有中文,原名英文,
alpinista,Europe,Conduit,康杜伊,Conduit,Conduit,83,85,4,js/data/historical-horses/Europe/conduit.js,自译待核对,现有英文显示名,
art-power,Europe,Contrail,铁鸟翱天,Contrail,コントレイル,84,86,7,js/data/historical-horses/Japan/contrail.js,自译待核对,现有英文显示名,
auguste-rodin,Europe,Copano Rickey,小林历奇,Copano Rickey,コパノリッキー,77,79,13,js/data/historical-horses/Japan/copano-rickey.js,自译待核对,现有英文显示名,
baaeed,Europe,Cracksman,金库神偷,Cracksman,Cracksman,90,92,1,js/data/historical-horses/Europe/cracksman.js,自译待核对,现有英文显示名,
battaash,Europe,Creative Force,创意力量,Creative Force,Creative Force,81,83,1,js/data/historical-horses/Europe/creative-force.js,自译待核对,现有英文显示名,
black-caviar,Europe,Curren Chan,真机伶,Curren Chan,カレンチャン,77,79,4,js/data/historical-horses/Japan/curren-chan.js,自译待核对,现有英文显示名,
blue-point,Europe,Daiwa Major,大和主将,Daiwa Major,???????,81,83,8,js/data/historical-horses/Japan/daiwa-major.js,自译待核对,现有英文显示名,
blue-rose-cen,Europe,Daiwa Scarlet,大和赤骥,Daiwa Scarlet,ダイワスカーレット,83,84,6,js/data/historical-horses/Japan/daiwa-scarlet.js,自译待核对,现有英文显示名,
bluestocking,Europe,Dancing Brave,勇舞,Dancing Brave,Dancing Brave,96,98,4,js/data/historical-horses/Europe/dancing-brave.js,自译待核对,现有英文显示名,
bosra-sham,Europe,Danedream,丹梦,Danedream,Danedream,84,86,3,js/data/historical-horses/Europe/danedream.js,自译待核对,现有英文显示名,
brigadier-gerard,Europe,Danon the Kid,野田小子,Danon the Kid,ダノンザキッド,77,79,2,js/data/historical-horses/Japan/danon-the-kid.js,自译待核对,现有英文显示名,
camelot,Europe,Daring Tact,谋勇兼备,Daring Tact,デアリングタクト,80,82,3,js/data/historical-horses/Japan/daring-tact.js,自译待核对,现有英文显示名,
campanelle,Europe,Dayjur,多爵,Dayjur,Dayjur,92,94,3,js/data/historical-horses/Europe/dayjur.js,自译待核对,现有英文显示名,
canford-cliffs,Europe,Deep Impact,大震撼,Deep Impact,ディープインパクト,88,90,10,js/data/historical-horses/Japan/deep-impact.js,自译待核对,现有英文显示名,
capri,Europe,Deep Sky,天空深处,Deep Sky,ディープスカイ,82,84,5,js/data/historical-horses/Japan/deep-sky.js,自译待核对,现有英文显示名,
caravaggio,Europe,Divine Proportions,神圣比例,Divine Proportions,Divine Proportions,83,85,4,js/data/historical-horses/Europe/divine-proportions.js,自译待核对,现有英文显示名,
churchill,Europe,Do Deuce,胜局在望,Do Deuce,??????,87,89,6,js/data/historical-horses/Japan/do-deuce.js,自译待核对,现有英文显示名,
cirrus-des-aigles,Europe,Dream Ahead,前路梦,Dream Ahead,Dream Ahead,86,88,5,js/data/historical-horses/Europe/dream-ahead.js,自译待核对,现有英文显示名,
conduit,Europe,Dream Journey,梦之旅,Dream Journey,ドリームジャーニー,80,82,3,js/data/historical-horses/Japan/dream-journey.js,自译待核对,现有英文显示名,
cracksman,Europe,Dream of Dreams,梦中梦,Dream of Dreams,Dream of Dreams,81,83,1,js/data/historical-horses/Europe/dream-of-dreams.js,自译待核对,现有英文显示名,
creative-force,Europe,Dubai Millennium,迪拜千禧,Dubai Millennium,Dubai Millennium,96,98,3,js/data/historical-horses/Europe/dubai-millennium.js,自译待核对,现有英文显示名,
dancing-brave,Europe,Dubawi,杜拜威,Dubawi,Dubawi,89,91,2,js/data/historical-horses/Europe/dubawi.js,自译待核对,现有英文显示名,
danedream,Europe,Dura Erede,尽得真传,Dura Erede,ドゥラエレーデ,78,80,1,js/data/historical-horses/Japan/dura-erede.js,自译待核对,现有英文显示名,
dayjur,Europe,Duramente,大鸣大放,Duramente,??????,86,88,3,js/data/historical-horses/Japan/duramente.js,自译待核对,现有英文显示名,
divine-proportions,Europe,Durandal,杜兰达尔,Durandal,デュランダル,80,82,3,js/data/historical-horses/Japan/durandal.js,自译待核对,现有英文显示名,
dream-ahead,Europe,Dylan Thomas,迪伦托马斯,Dylan Thomas,Dylan Thomas,85,87,5,js/data/historical-horses/Europe/dylan-thomas.js,自译待核对,现有英文显示名,
dream-of-dreams,Europe,El Condor Pasa,神鹰,El Condor Pasa,エルコンドルパサー,90,92,5,js/data/historical-horses/Japan/el-condor-pasa.js,自译待核对,现有英文显示名,
dubai-millennium,Europe,精英力量,精英力量,Elite Power,Elite Power,78,80,3,js/data/historical-horses/America/elite-power.js,现有中文,原名英文,
dubawi,Europe,Elusive Kate,难捉凯特,Elusive Kate,Elusive Kate,83,85,4,js/data/historical-horses/Europe/elusive-kate.js,自译待核对,现有英文显示名,
dylan-thomas,Europe,Enable,成全宝,Enable,Enable,91,92,11,js/data/historical-horses/Europe/enable.js,自译待核对,现有英文显示名,
elusive-kate,Europe,Epiphaneia,神威启示,Epiphaneia,エピファネイア,86,88,3,js/data/historical-horses/Japan/epiphaneia.js,自译待核对,现有英文显示名,
enable,Europe,Equinox,春秋分,Equinox,イクイノックス,91,93,7,js/data/historical-horses/Japan/equinox.js,自译待核对,现有英文显示名,
estimate,Europe,核心素质,核心素质,Essential Quality,Essential Quality,78,80,4,js/data/historical-horses/America/essential-quality.js,现有中文,原名英文,
fame-and-glory,Europe,Estimate,估算,Estimate,Estimate,81,83,1,js/data/historical-horses/Europe/estimate.js,自译待核对,现有英文显示名,
fancy-blue,Europe,Fame And Glory,名望荣耀,Fame And Glory,Fame And Glory,84,86,2,js/data/historical-horses/Europe/fame-and-glory.js,自译待核对,现有英文显示名,
found,Europe,Fancy Blue,梦幻蓝,Fancy Blue,Fancy Blue,81,83,1,js/data/historical-horses/Europe/fancy-blue.js,自译待核对,现有英文显示名,
frankel,Europe,航线,航线,Flightline,Flightline,94,96,2,js/data/historical-horses/America/flightline.js,现有中文,原名英文,
galileo,Europe,Flower Park,花公园,Flower Park,フラワーパーク,77,79,3,js/data/historical-horses/Japan/flower-park.js,自译待核对,现有英文显示名,
ghaiyyath,Europe,领先,领先,Forego,Forego,90,92,2,js/data/historical-horses/America/forego.js,现有中文,原名英文,
giants-causeway,Europe,Found,艳迹可寻,Found,Found,88,90,3,js/data/historical-horses/Europe/found.js,自译待核对,现有英文显示名,
glass-slippers,Europe,Frankel,范高尔,Frankel,Frankel,99,100,9,js/data/historical-horses/Europe/frankel.js,自译待核对,现有英文显示名,
gold-river,Europe,Fuji Kiseki,富士奇石,Fuji Kiseki,フジキセキ,78,80,2,js/data/historical-horses/Japan/fuji-kiseki.js,自译待核对,现有英文显示名,
golden-horn,Europe,Galileo,伽利略,Galileo,Galileo,91,92,3,js/data/historical-horses/Europe/galileo.js,自译待核对,现有英文显示名,
goldikova,Europe,Gentildonna,贵妇人,Gentildonna,ジェンティルドンナ,82,84,9,js/data/historical-horses/Japan/gentildonna.js,自译待核对,现有英文显示名,
goldream,Europe,Ghaiyyath,既成事實,Ghaiyyath,Ghaiyyath,89,91,4,js/data/historical-horses/Europe/ghaiyyath.js,自译待核对,现有英文显示名,
harbinger,Europe,Giant's Causeway,巨人长堤,Giant's Causeway,Giant's Causeway,90,92,5,js/data/historical-horses/Europe/giants-causeway.js,自译待核对,现有英文显示名,
harry-angel,Europe,Glass Slippers,水晶鞋,Glass Slippers,Glass Slippers,82,84,3,js/data/historical-horses/Europe/glass-slippers.js,自译待核对,现有英文显示名,
hello-youmzain,Europe,Gold Dream,黄金梦,Gold Dream,ゴールドドリーム,81,82,6,js/data/historical-horses/Japan/gold-dream.js,自译待核对,现有英文显示名,
highfield-princess,Europe,Gold River,金河,Gold River,Gold River,85,87,4,js/data/historical-horses/Europe/gold-river.js,自译待核对,现有英文显示名,
highland-reel,Europe,Gold Ship,黄金船,Gold Ship,ゴールドシップ,82,84,11,js/data/historical-horses/Japan/gold-ship.js,自译待核对,现有英文显示名,
hurricane-lane,Europe,Golden Horn,金号角,Golden Horn,Golden Horn,88,90,4,js/data/historical-horses/Europe/golden-horn.js,自译待核对,现有英文显示名,
kew-gardens,Europe,黄金伙伴,黄金伙伴,Golden Pal,Golden Pal,76,78,2,js/data/historical-horses/America/golden-pal.js,现有中文,原名英文,
khaadem,Europe,Golden Sixty,金枪六十,Golden Sixty,Golden Sixty,86,88,10,js/data/historical-horses/Others/golden-sixty.js,自译待核对,现有英文显示名,
kind-of-blue,Europe,Goldikova,金刚威,Goldikova,Goldikova,86,88,11,js/data/historical-horses/Europe/goldikova.js,自译待核对,现有英文显示名,
kingman,Europe,Goldream,金梦,Goldream,Goldream,81,83,2,js/data/historical-horses/Europe/goldream.js,自译待核对,现有英文显示名,
kinross,Europe,Good Ba Ba,好爸爸,Good Ba Ba,Good Ba Ba,82,84,7,js/data/historical-horses/Others/good-ba-ba.js,自译待核对,现有英文显示名,
kyprios,Europe,Gran Alegria,放声欢呼,Gran Alegria,グランアレグリア,82,84,8,js/data/historical-horses/Japan/gran-alegria.js,自译待核对,现有英文显示名,
lady-aurelia,Europe,Grass Wonder,草上飞,Grass Wonder,グラスワンダー,81,83,6,js/data/historical-horses/Japan/grass-wonder.js,自译待核对,现有英文显示名,
lope-de-vega,Europe,铤而走险,铤而走险,Gun Runner,Gun Runner,87,89,2,js/data/historical-horses/America/gun-runner.js,现有中文,原名英文,
love,Europe,Haiseiko,海塞科,Haiseiko,??????,78,80,5,js/data/historical-horses/Japan/haiseiko.js,自译待核对,现有英文显示名,
luxembourg,Europe,Harbinger,先驱,Harbinger,Harbinger,93,95,1,js/data/historical-horses/Europe/harbinger.js,自译待核对,现有英文显示名,
mabs-cross,Europe,Harry Angel,哈利天使,Harry Angel,Harry Angel,85,87,2,js/data/historical-horses/Europe/harry-angel.js,自译待核对,现有英文显示名,
magical,Europe,Heart's Cry,真心呼唤,Heart's Cry,ハーツクライ,86,88,2,js/data/historical-horses/Japan/hearts-cry.js,自译待核对,现有英文显示名,
marsha,Europe,Hello Youmzain,你好尤姆赞,Hello Youmzain,Hello Youmzain,82,84,2,js/data/historical-horses/Europe/hello-youmzain.js,自译待核对,现有英文显示名,
meccas-angel,Europe,灌木丛,灌木丛,High Chaparral,High Chaparral,86,88,6,js/data/historical-horses/America/high-chaparral.js,现有中文,原名英文,
midday,Europe,Highfield Princess,喜菲皇女,Highfield Princess,Highfield Princess,83,85,4,js/data/historical-horses/Europe/highfield-princess.js,自译待核对,现有英文显示名,
miesque,Europe,Highland Reel,高地之舞,Highland Reel,Highland Reel,85,87,6,js/data/historical-horses/Europe/highland-reel.js,自译待核对,现有英文显示名,
mill-reef,Europe,Hishi Amazon,菱亚马逊,Hishi Amazon,??????,78,80,6,js/data/historical-horses/Japan/hishi-amazon.js,自译待核对,现有英文显示名,
minding,Europe,Hokko Tarumae,北港火山,Hokko Tarumae,ホッコータルマエ,78,80,14,js/data/historical-horses/Japan/hokko-tarumae.js,自译待核对,现有英文显示名,
minzaal,Europe,Hurricane Lane,飓风巷,Hurricane Lane,Hurricane Lane,84,86,2,js/data/historical-horses/Europe/hurricane-lane.js,自译待核对,现有英文显示名,
montjeu,Europe,Jack d'Or,金积骥,Jack d'Or,ジャックドール,79,81,3,js/data/historical-horses/Japan/jack-dor.js,自译待核对,现有英文显示名,
moonlight-cloud,Europe,Just A Way,一路通,Just A Way,???????,88,90,4,js/data/historical-horses/Japan/just-a-way.js,自译待核对,现有英文显示名,
muhaarar,Europe,Justify,正义,Justify,Justify,88,90,3,js/data/historical-horses/America/justify.js,自译待核对,现有英文显示名,
nature-strip,Europe,Ka Ying Rising,嘉应高升,Ka Ying Rising,Ka Ying Rising,89,92,9,js/data/historical-horses/Others/ka-ying-rising.js,自译待核对,现有英文显示名,
naval-crown,Europe,Kane Hekili,金辉斩,Kane Hekili,カネヒキリ,80,82,6,js/data/historical-horses/Japan/kane-hekili.js,自译待核对,现有英文显示名,
night-of-thunder,Europe,凯尔索,凯尔索,Kelso,Kelso,92,94,1,js/data/historical-horses/America/kelso.js,现有中文,原名英文,
nijinsky,Europe,Kew Gardens,邱园,Kew Gardens,Kew Gardens,82,84,1,js/data/historical-horses/Europe/kew-gardens.js,自译待核对,现有英文显示名,
novellist,Europe,Khaadem,卡登,Khaadem,Khaadem,82,84,2,js/data/historical-horses/Europe/khaadem.js,自译待核对,现有英文显示名,
oasis-dream,Europe,Kind Of Blue,蓝调,Kind Of Blue,Kind Of Blue,81,83,1,js/data/historical-horses/Europe/kind-of-blue.js,自译待核对,现有英文显示名,
oh-so-sharp,Europe,King Halo,帝王光环,King Halo,キングヘイロー,76,78,2,js/data/historical-horses/Japan/king-halo.js,自译待核对,现有英文显示名,
order-of-st-george,Europe,King Kamehameha,夏威夷王,King Kamehameha,キングカメハメハ,83,85,4,js/data/historical-horses/Japan/king-kamehameha.js,自译待核对,现有英文显示名,
ouija-board,Europe,Kingman,皇仆,Kingman,Kingman,90,92,3,js/data/historical-horses/Europe/kingman.js,自译待核对,现有英文显示名,
oxted,Europe,Kinross,金罗斯,Kinross,Kinross,82,84,2,js/data/historical-horses/Europe/kinross.js,自译待核对,现有英文显示名,
paddington,Europe,Kinshasa no Kiseki,金莎奇迹,Kinshasa no Kiseki,キンシャサノキセキ,78,80,6,js/data/historical-horses/Japan/kinshasa-no-kiseki.js,自译待核对,现有英文显示名,
palace-pier,Europe,Kitasan Black,北部玄驹,Kitasan Black,キタサンブラック,85,87,10,js/data/historical-horses/Japan/kitasan-black.js,自译待核对,现有英文显示名,
peintre-celebre,Europe,力胜高,力胜高,Knicks Go,Knicks Go,82,84,3,js/data/historical-horses/America/knicks-go.js,现有中文,原名英文,
regional,Europe,Kurofune,黑船,Kurofune,クロフネ,81,83,4,js/data/historical-horses/Japan/kurofune.js,自译待核对,现有英文显示名,
ribchester,Europe,Kyprios,饶舌达人,Kyprios,Kyprios,86,88,2,js/data/historical-horses/Europe/kyprios.js,自译待核对,现有英文显示名,
roaring-lion,Europe,Lady Aurelia,奥莉莉亚女士,Lady Aurelia,Lady Aurelia,82,84,2,js/data/historical-horses/Europe/lady-aurelia.js,自译待核对,现有英文显示名,
rock-of-gibraltar,Europe,埃利女士,埃利女士,Lady Eli,Lady Eli,80,82,2,js/data/historical-horses/America/lady-eli.js,现有中文,原名英文,
russian-rhythm,Europe,Lei Papale,蕾帕帕蕾,Lei Papale,レイパパレ,77,79,2,js/data/historical-horses/Japan/lei-papale.js,自译待核对,现有英文显示名,
sea-the-stars,Europe,Lemon Pop,柠檬汽水,Lemon Pop,レモンポップ,79,80,7,js/data/historical-horses/Japan/lemon-pop.js,自译待核对,现有英文显示名,
search-for-a-song,Europe,Liberty Island,自由岛,Liberty Island,リバティアイランド,80,82,5,js/data/historical-horses/Japan/liberty-island.js,自译待核对,现有英文显示名,
shamardal,Europe,Lope de Vega,歌剧泰斗,Lope de Vega,Lope de Vega,84,86,1,js/data/historical-horses/Europe/lope-de-vega.js,自译待核对,现有英文显示名,
shaquille,Europe,Lord Kanaloa,龙王,Lord Kanaloa,ロードカナロア,84,86,9,js/data/historical-horses/Japan/lord-kanaloa.js,自译待核对,现有英文显示名,
shergar,Europe,Love,爱,Love,Love,83,85,4,js/data/historical-horses/Europe/love.js,自译待核对,现有英文显示名,
snowfall,Europe,Lucky Lilac,幸运紫丁香,Lucky Lilac,ラッキーライラック,78,80,5,js/data/historical-horses/Japan/lucky-lilac.js,自译待核对,现有英文显示名,
so-you-think,Europe,Luxembourg,卢森堡,Luxembourg,Luxembourg,83,85,4,js/data/historical-horses/Europe/luxembourg.js,自译待核对,现有英文显示名,
sole-power,Europe,Lys Gracieux,雍容白荷,Lys Gracieux,???????,84,86,6,js/data/historical-horses/Japan/lys-gracieux.js,自译待核对,现有英文显示名,
solow,Europe,Mabs Cross,马布斯十字,Mabs Cross,Mabs Cross,81,83,1,js/data/historical-horses/Europe/mabs-cross.js,自译待核对,现有英文显示名,
special-duty,Europe,Magical,变魔术,Magical,Magical,84,86,5,js/data/historical-horses/Europe/magical.js,自译待核对,现有英文显示名,
st-marks-basilica,Europe,战争之人,战争之人,Man o' War,Man o' War,95,97,3,js/data/historical-horses/America/man-o-war.js,现有中文,原名英文,
st-nicholas-abbey,Europe,Marsha,玛莎,Marsha,Marsha,82,84,2,js/data/historical-horses/Europe/marsha.js,自译待核对,现有英文显示名,
stradivarius,Europe,Maruzensky,丸善斯基,Maruzensky,???????,81,83,1,js/data/historical-horses/Japan/maruzensky.js,自译待核对,现有英文显示名,
stravinsky,Europe,Maurice,满乐时,Maurice,モーリス,87,89,6,js/data/historical-horses/Japan/maurice.js,自译待核对,现有英文显示名,
taghrooda,Europe,Mayano Top Gun,摩耶重炮,Mayano Top Gun,????????,80,82,5,js/data/historical-horses/Japan/mayano-top-gun.js,自译待核对,现有英文显示名,
tahiyra,Europe,Mecca's Angel,麦加天使,Mecca's Angel,Mecca's Angel,84,86,2,js/data/historical-horses/Europe/meccas-angel.js,自译待核对,现有英文显示名,
takeover-target,Europe,Meisho Mambo,名将森逊,Meisho Mambo,メイショウマンボ,77,79,3,js/data/historical-horses/Japan/meisho-mambo.js,自译待核对,现有英文显示名,
tarnawa,Europe,Mejiro McQueen,目白麦昆,Mejiro McQueen,メジロマックイーン,79,81,9,js/data/historical-horses/Japan/mejiro-mcqueen.js,自译待核对,现有英文显示名,
the-fugue,Europe,Midday,正午,Midday,Midday,87,89,6,js/data/historical-horses/Europe/midday.js,自译待核对,现有英文显示名,
too-darn-hot,Europe,Miesque,米斯克,Miesque,Miesque,88,90,7,js/data/historical-horses/Europe/miesque.js,自译待核对,现有英文显示名,
torquator-tasso,Europe,Mihono Bourbon,美浦波旁,Mihono Bourbon,???????,82,84,5,js/data/historical-horses/Japan/mihono-bourbon.js,自译待核对,现有英文显示名,
trawlerman,Europe,Mill Reef,水车礁石,Mill Reef,Mill Reef,97,99,7,js/data/historical-horses/Europe/mill-reef.js,自译待核对,现有英文显示名,
treve,Europe,Minding,眷念,Minding,Minding,88,90,5,js/data/historical-horses/Europe/minding.js,自译待核对,现有英文显示名,
trueshan,Europe,Minzaal,明扎尔,Minzaal,Minzaal,81,83,1,js/data/historical-horses/Europe/minzaal.js,自译待核对,现有英文显示名,
vazirabad,Europe,莫诺莫伊女孩,莫诺莫伊女孩,Monomoy Girl,Monomoy Girl,79,81,3,js/data/historical-horses/America/monomoy-girl.js,现有中文,原名英文,
winter,Europe,Montjeu,望族,Montjeu,Montjeu,92,93,6,js/data/historical-horses/Europe/montjeu.js,自译待核对,现有英文显示名,
yeats,Europe,Moonlight Cloud,月影云霞,Moonlight Cloud,Moonlight Cloud,90,92,6,js/data/historical-horses/Europe/moonlight-cloud.js,自译待核对,现有英文显示名,
zarkava,Europe,Mr. C.B.,千明代表,Mr. C.B.,????????,79,81,5,js/data/historical-horses/Japan/mr-cb.js,自译待核对,现有英文显示名,
admire-groove,Japan,Muhaarar,穆哈拉尔,Muhaarar,Muhaarar,86,88,4,js/data/historical-horses/Europe/muhaarar.js,自译待核对,现有英文显示名,
admire-mars,Japan,Narita Brian,成田白仁,Narita Brian,ナリタブライアン,81,83,9,js/data/historical-horses/Japan/narita-brian.js,自译待核对,现有英文显示名,
agnes-digital,Japan,天才舞者,天才舞者,Native Dancer,Native Dancer,93,95,4,js/data/historical-horses/America/native-dancer.js,现有中文,原名英文,
air-groove,Japan,Nature Strip,绿化带,Nature Strip,Nature Strip,87,89,5,js/data/historical-horses/Europe/nature-strip.js,自译待核对,现有英文显示名,
almond-eye,Japan,Naval Crown,海军皇冠,Naval Crown,Naval Crown,81,83,1,js/data/historical-horses/Europe/naval-crown.js,自译待核对,现有英文显示名,
apapane,Japan,Night of Thunder,雷夜,Night of Thunder,Night of Thunder,82,84,2,js/data/historical-horses/Europe/night-of-thunder.js,自译待核对,现有英文显示名,
biwa-hayahide,Japan,Nijinsky,尼金斯基,Nijinsky,Nijinsky,95,96,6,js/data/historical-horses/Europe/nijinsky.js,自译待核对,现有英文显示名,
buena-vista,Japan,Novellist,小说家,Novellist,Novellist,91,93,3,js/data/historical-horses/Europe/novellist.js,自译待核对,现有英文显示名,
cesario,Japan,Oasis Dream,绿洲梦,Oasis Dream,Oasis Dream,86,88,3,js/data/historical-horses/Europe/oasis-dream.js,自译待核对,现有英文显示名,
chrono-genesis,Japan,Oguri Cap,小栗帽,Oguri Cap,オグリキャップ,79,81,10,js/data/historical-horses/Japan/oguri-cap.js,自译待核对,现有英文显示名,
contrail,Japan,Oh So Sharp,好锋利,Oh So Sharp,Oh So Sharp,87,89,3,js/data/historical-horses/Europe/oh-so-sharp.js,自译待核对,现有英文显示名,
