race_id,原名,中文名,英文名,当前显示名,原名语言,等级,赛事类别,地区,场地,赛场,距离,月份,半月,年龄条件,性别限定,原名来源,中文来源,核对备注
kyoto-kimpai,京都金杯,京都金杯,Kyoto Kimpai,京都金杯,日语,G3,g3,日本,草地,京都,1600,1,1,4岁以上,,资料补充：日本赛事原名,现有中文,
fairy-stakes,フェアリーステークス,妖精锦标,Fairy S,Fairy S,日语,G3,g3,日本,草地,中山,1600,1,1,3岁,牝马,资料补充：日本赛事原名,自译待核对,
shinzan-kinen,シンザン記念,新山记念,Shinzan Kinen,新山记念,日语,G3,g3,日本,草地,京都,1600,1,1,3岁,,资料补充：日本赛事原名,现有中文,
keisei-hai,京成杯,京成杯,Keisei Hai,京成杯,日语,G3,g3,日本,草地,中山,2000,1,2,3岁,,资料补充：日本赛事原名,现有中文,
kokura-himba-stakes,小倉牝馬ステークス,小仓牝马锦标,Kokura Himba Stakes,小仓牝马S,日语,G3,g3,日本,草地,小仓,2000,1,2,4岁以上,牝马,资料补充：日本赛事原名,自动规范化待核对,
negishi-stakes,根岸ステークス,根岸锦标,Negishi Stakes,根岸S,日语,G3,g3,日本,泥地,东京,1400,2,1,4岁以上,,资料补充：日本赛事原名,自动规范化待核对,
silk-road-stakes,シルクロードステークス,丝路锦标,Silk Road Stakes,丝路S,日语,G3,g3,日本,草地,京都,1200,2,1,4岁以上,,资料补充：日本赛事原名,自动规范化待核对,
tokyo-shimbun-hai,東京新聞杯,东京新闻杯,Tokyo Shimbun Hai,东京新闻杯,日语,G3,g3,日本,草地,东京,1600,2,1,4岁以上,,资料补充：日本赛事原名,现有中文,
kisaragi-sho,きさらぎ賞,如月赏,Kisaragi Sho,如月赏,日语,G3,g3,日本,草地,京都,1800,2,1,3岁,,资料补充：日本赛事原名,现有中文,
queen-cup,クイーンカップ,皇后杯,Queen Cup,皇后杯,日语,G3,g3,日本,草地,东京,1600,2,1,3岁,牝马,资料补充：日本赛事原名,现有中文,
tokinominoru-kinen,共同通信杯,共同通信杯,Tokinominoru Kinen,共同通信杯,日语,G3,g3,日本,草地,东京,1800,2,1,3岁,,资料补充：日本赛事原名,现有中文,
diamond-stakes,ダイヤモンドステークス,钻石锦标,Diamond Stakes,钻石S,日语,G3,g3,日本,草地,东京,3400,2,2,4岁以上,,资料补充：日本赛事原名,自动规范化待核对,
kokura-daishoten,小倉大賞典,小仓大赏典,Kokura Daishoten,小仓大赏典,日语,G3,g3,日本,草地,小仓,1800,2,2,4岁以上,,资料补充：日本赛事原名,现有中文,
hankyu-hai,阪急杯,阪急杯,Hankyu Hai,阪急杯,日语,G3,g3,日本,草地,阪神,1400,2,2,4岁以上,,资料补充：日本赛事原名,现有中文,
aichi-hai,愛知杯,爱知杯,Aichi Hai,爱知杯,日语,G3,g3,日本,草地,中京,1400,3,2,4岁以上,牝马,资料补充：日本赛事原名,现有中文,
ocean-stakes,オーシャンステークス,海洋锦标,Ocean Stakes,海洋S,日语,G3,g3,日本,草地,中山,1200,3,1,4岁以上,,资料补充：日本赛事原名,自动规范化待核对,
nakayama-himba-stakes,中山牝馬ステークス,中山牝马锦标,Nakayama Himba Stakes,中山牝马S,日语,G3,g3,日本,草地,中山,1800,3,1,4岁以上,牝马,资料补充：日本赛事原名,自动规范化待核对,
flower-cup,フラワーカップ,花杯,Flower Cup,花杯,日语,G3,g3,日本,草地,中山,1800,3,2,3岁,牝马,资料补充：日本赛事原名,现有中文,
falcon-stakes,ファルコンステークス,猎鹰锦标,Falcon S,Falcon S,日语,G3,g3,日本,草地,中京,1400,3,2,3岁,,资料补充：日本赛事原名,自译待核对,
mainichi-hai,毎日杯,每日杯,Mainichi Hai,每日杯,日语,G3,g3,日本,草地,阪神,1800,3,2,3岁,,资料补充：日本赛事原名,现有中文,
march-stakes,マーチステークス,三月锦标,March S,March S,日语,G3,g3,日本,泥地,中山,1800,3,2,4岁以上,,资料补充：日本赛事原名,自译待核对,
lord-derby-challenge-trophy,ダービー卿チャレンジトロフィー,达比勋爵挑战杯,Lord Derby Challenge Trophy,达比勋爵CT,日语,G3,g3,日本,草地,中山,1600,4,1,4岁以上,,资料补充：日本赛事原名,自动规范化待核对,
churchill-downs-cup,チャーチルダウンズカップ,丘吉尔园杯,Churchill Downs C,Churchill Downs C,日语,G3,g3,日本,草地,阪神,1600,4,1,3岁,,资料补充：日本赛事原名,自译待核对,
antares-stakes,アンタレスステークス,心宿二锦标,Antares S,Antares S,日语,G3,g3,日本,泥地,阪神,1800,4,2,4岁以上,,资料补充：日本赛事原名,自译待核对,
fukushima-himba-stakes,福島牝馬ステークス,福岛牝马锦标,Fukushima Himba Stakes,福岛牝马S,日语,G3,g3,日本,草地,福岛,1800,4,2,4岁以上,牝马,资料补充：日本赛事原名,自动规范化待核对,
niigata-daishoten,新潟大賞典,新潟大赏典,Niigata Daishoten,新潟大赏典,日语,G3,g3,日本,草地,新潟,2000,5,1,4岁以上,,资料补充：日本赛事原名,现有中文,
unicorn-stakes,ユニコーンステークス,独角兽锦标,Unicorn S,Unicorn S,日语,G3,g3,日本,泥地,京都,1900,4,2,3岁,,资料补充：日本赛事原名,自译待核对,
heian-stakes,平安ステークス,平安锦标,Heian Stakes,平安S,日语,G3,g3,日本,泥地,京都,1900,5,2,4岁以上,,资料补充：日本赛事原名,自动规范化待核对,
aoi-stakes,葵ステークス,葵锦标,Aoi Stakes,葵S,日语,G3,g3,日本,草地,京都,1200,5,2,3岁,,资料补充：日本赛事原名,自动规范化待核对,
epsom-cup,エプソムカップ,叶森杯,Epsom C,Epsom C,日语,G3,g3,日本,草地,东京,1800,6,1,3岁以上,,资料补充：日本赛事原名,自译待核对,
fuchu-himba-stakes,府中牝馬ステークス,府中牝马锦标,Fuchu Himba Stakes,府中牝马S,日语,G3,g3,日本,草地,东京,1800,6,2,3岁以上,牝马,资料补充：日本赛事原名,自动规范化待核对,
hakodate-sprint-stakes,函館スプリントステークス,函馆短途锦标,Hakodate Sprint Stakes,函馆短途S,日语,G3,g3,日本,草地,函馆,1200,6,1,3岁以上,,资料补充：日本赛事原名,自动规范化待核对,
radio-nikkei-sho,ラジオNIKKEI賞,日经电台赏,Radio NIKKEI Sho,Radio NIKKEI赏,日语,G3,g3,日本,草地,福岛,1800,6,2,3岁,,资料补充：日本赛事原名,自译待核对,
kitakyushu-kinen,北九州記念,北九州记念,Kitakyushu Kinen,北九州记念,日语,G3,g3,日本,草地,小仓,1200,8,2,3岁以上,,资料补充：日本赛事原名,现有中文,
shirasagi-stakes,しらさぎステークス,白鹭锦标,Shirasagi Stakes,しらさぎS,日语,G3,g3,日本,草地,阪神,1600,6,2,3岁以上,,资料补充：日本赛事原名,自译待核对,
tanabata-sho,七夕賞,七夕赏,Tanabata Sho,七夕赏,日语,G3,g3,日本,草地,福岛,2000,7,1,3岁以上,,资料补充：日本赛事原名,现有中文,
tokai-stakes,東海ステークス,东海锦标,Tokai Stakes,东海S,日语,G3,g3,日本,泥地,中京,1400,7,2,3岁以上,,资料补充：日本赛事原名,自动规范化待核对,
hakodate-kinen,函館記念,函馆记念,Hakodate Kinen,函馆记念,日语,G3,g3,日本,草地,函馆,2000,7,2,3岁以上,,资料补充：日本赛事原名,现有中文,
chukyo-kinen,中京記念,中京记念,Chukyo Kinen,中京记念,日语,G3,g3,日本,草地,中京,1600,7,2,3岁以上,,资料补充：日本赛事原名,现有中文,
hakodate-nisai-stakes,函館2歳ステークス,函馆2岁锦标,Hakodate Nisai Stakes,函馆2岁S,日语,G3,g3,日本,草地,函馆,1200,7,2,2岁,,资料补充：日本赛事原名,自动规范化待核对,
ibis-summer-dash,アイビスサマーダッシュ,朱鹮夏季短途赛,Ibis Summer Dash,Ibis Summer Dash,日语,G3,g3,日本,草地,新潟,1000,7,2,3岁以上,,资料补充：日本赛事原名,自译待核对,
queen-stakes,クイーンステークス,皇后锦标,Queen Stakes,皇后S,日语,G3,g3,日本,草地,札幌,1800,7,2,3岁以上,牝马,资料补充：日本赛事原名,自动规范化待核对,
leopard-stakes,レパードステークス,豹锦标,Leopard S,Leopard S,日语,G3,g3,日本,泥地,新潟,1800,8,1,3岁,,资料补充：日本赛事原名,自译待核对,
kokura-kinen,小倉記念,小仓记念,Kokura Kinen,小仓记念,日语,G3,g3,日本,草地,小仓,2000,8,1,3岁以上,,资料补充：日本赛事原名,现有中文,
sekiya-kinen,関屋記念,关屋记念,Sekiya Kinen,关屋记念,日语,G3,g3,日本,草地,新潟,1600,8,1,3岁以上,,资料补充：日本赛事原名,现有中文,
cbc-sho,CBC賞,CBC赏,CBC Sho,CBC赏,日语,G3,g3,日本,草地,中京,1200,8,1,3岁以上,,资料补充：日本赛事原名,自动生成待核对,
elm-stakes,エルムステークス,榆树锦标,Elm S,Elm S,日语,G3,g3,日本,泥地,札幌,1700,8,1,3岁以上,,资料补充：日本赛事原名,自译待核对,
niigata-nisai-stakes,新潟2歳ステークス,新潟2岁锦标,Niigata Nisai Stakes,新潟2岁S,日语,G3,g3,日本,草地,新潟,1600,8,2,2岁,,资料补充：日本赛事原名,自动规范化待核对,
keeneland-cup,キーンランドカップ,肯尼兰杯,Keeneland C,Keeneland C,日语,G3,g3,日本,草地,札幌,1200,8,2,3岁以上,,资料补充：日本赛事原名,自译待核对,
sapporo-nisai-stakes,札幌2歳ステークス,札幌2岁锦标,Sapporo Nisai Stakes,札幌2岁S,日语,G3,g3,日本,草地,札幌,1800,9,1,2岁,,资料补充：日本赛事原名,自动规范化待核对,
chukyo-nisai-stakes,中京2歳ステークス,中京2岁锦标,Chukyo Nisai Stakes,中京2岁S,日语,G3,g3,日本,草地,中京,1400,8,2,2岁,,资料补充：日本赛事原名,自动规范化待核对,
niigata-kinen,新潟記念,新潟记念,Niigata Kinen,新潟记念,日语,G3,g3,日本,草地,新潟,2000,9,1,3岁以上,,资料补充：日本赛事原名,现有中文,
keisei-hai-autumn-handicap,京成杯オータムハンデキャップ,京成杯秋季让赛,Keisei Hai Autumn Handicap,京成杯AH,日语,G3,g3,日本,草地,中山,1600,9,1,3岁以上,,资料补充：日本赛事原名,自动规范化待核对,
challenge-cup,チャレンジカップ,挑战杯,Challenge C,Challenge C,日语,G3,g3,日本,草地,阪神,2000,9,2,3岁以上,,资料补充：日本赛事原名,自译待核对,
sirius-stakes,シリウスステークス,天狼星锦标,Sirius S,Sirius S,日语,G3,g3,日本,泥地,阪神,2000,9,2,3岁以上,,资料补充：日本赛事原名,自译待核对,
